Date  ,Open  ,High  ,Low  ,Close   , ,Adj Close   ,Symbol,Scraped Date,日期  ,開市  ,最高  ,最低  ,關閉   ,調整後的收市價   
"Feb 3, 2025",60.19,61.26,59.55,61.04,61.04,"20,375,700",CSCO,2025-02-05 21:03:56,,,,,,
"Feb 3, 2025",80.13,84.25,78.47,83.74,83.74,"126,592,700",PLTR,2025-02-05 21:03:57,,,,,,
"Feb 3, 2025",96.50,101.87,96.07,98.61,98.61,"29,282,900",BABA,2025-02-05 21:04:02,,,,,,
"Feb 3, 2025",98.13,100.15,98.00,99.79,99.79,"13,363,900",MRK,2025-02-05 21:04:03,,,,,,
"Feb 3, 2025",126.65,128.95,126.01,128.45,128.45,"5,720,600",ABT,2025-02-05 21:04:08,,,,,,
"Feb 3, 2025",593.13,600.41,589.36,593.75,593.75,"2,135,600",TMO,2025-02-05 21:04:10,,,,,,
"Feb 3, 2025",312.19,317.00,309.19,316.53,316.53,"1,997,200",AXP,2025-02-05 21:04:11,,,,,,
"Feb 3, 2025",135.81,138.00,133.91,137.16,137.16,"5,307,000",MS,2025-02-05 21:04:13,,,,,,
"Feb 3, 2025",200.00,204.73,198.97,204.11,204.11,"4,678,300",GE,2025-02-05 21:04:14,,,,,,
"Feb 3, 2025",445.03,454.81,440.46,454.21,454.21,"2,701,200",LIN,2025-02-05 21:04:18,,,,,,
"Feb 3, 2025",626.00,638.48,622.48,632.37,632.37,"2,102,600",GS,2025-02-05 21:04:19,,,,,,
"Feb 3, 2025",70.25,70.74,69.73,69.86,69.86,"4,993,400",AZN,2025-02-05 21:04:22,,,,,,
"Feb 3, 2025",172.43,175.48,170.25,173.54,173.54,"2,941,700",BX,2025-02-05 21:04:23,,,,,,
"Feb 3, 2025",104.47,105.98,104.07,105.48,105.48,"3,122,800",NVS,2025-02-05 21:04:24,,,,,,
"Feb 3, 2025","1,006.50","1,030.99",998.05,"1,020.94","1,020.94","2,016,000",NOW,2025-02-05 21:04:30,,,,,,
"Feb 3, 2025",287.02,290.90,284.19,290.05,290.05,"3,048,800",MCD,2025-02-05 21:04:37,,,,,,
"Feb 3, 2025",564.87,583.58,563.27,578.55,578.55,"1,830,800",ISRG,2025-02-05 21:04:38,,,,,,
,,,,,114.00,,DIS,2025-02-05 21:04:39,"Feb 3, 2025",111.35,114.60,110.86,114.00,"8,870,700"
"Feb 3, 2025",128.91,131.04,128.25,130.39,130.39,"5,633,200",PM,2025-02-05 21:04:43,,,,,,
"Feb 3, 2025",65.30,65.77,64.93,65.17,65.17,"4,841,684",SHEL,2025-02-05 21:04:46,,,,,,
"Feb 3, 2025",149.76,151.13,148.83,150.27,150.27,"7,196,200",PEP,2025-02-05 21:04:47,,,,,,
"Feb 3, 2025",113.88,115.16,112.98,114.27,114.27,"34,586,100",AMD,2025-02-05 21:04:51,,,,,,
"Feb 3, 2025",437.80,442.74,430.88,438.60,438.60,"3,348,700",ADBE,2025-02-05 21:04:52,,,,,,
"Feb 3, 2025",168.88,172.58,168.06,170.24,170.24,"7,447,100",QCOM,2025-02-05 21:04:56,,,,,,
"Feb 3, 2025",50.99,51.48,50.69,51.30,51.30,"1,733,000",HSBC,2025-02-05 21:04:57,,,,,,
"Feb 3, 2025",364.14,368.55,359.69,361.55,361.55,"3,079,300",CAT,2025-02-05 21:04:58,,,,,,
"Feb 3, 2025",23.69,24.43,23.67,24.25,24.25,"59,555,800",T,2025-02-05 21:05:01,,,,,,
"Feb 3, 2025",128.50,130.54,127.55,129.92,129.92,"6,067,300",RTX,2025-02-05 21:05:02,,,,,,
"Feb 3, 2025",153.55,159.36,152.00,155.65,155.65,"4,104,700",ARM,2025-02-05 21:05:03,,,,,,
"Feb 3, 2025",117.40,120.17,116.51,118.81,118.81,"1,663,400",RY,2025-02-05 21:05:04,,,,,,
"Feb 3, 2025",39.31,40.12,39.15,39.98,39.98,"27,967,100",VZ,2025-02-05 21:05:06,,,,,,
"Feb 3, 2025",600.40,601.83,585.01,600.76,600.76,"2,244,500",INTU,2025-02-05 21:05:07,,,,,,
"Feb 3, 2025",183.03,183.31,178.40,180.94,180.94,"6,311,500",TXN,2025-02-05 21:05:08,,,,,,
"Feb 3, 2025",517.91,519.40,511.32,518.38,518.38,"1,839,000",SPGI,2025-02-05 21:05:10,,,,,,
"Feb 3, 2025",105.80,108.57,104.80,105.24,105.24,"15,022,900",PDD,2025-02-05 21:05:13,,,,,,
"Feb 3, 2025","1,054.48","1,056.54","1,006.63","1,013.75","1,013.75","1,502,200",BLK,2025-02-05 21:05:14,,,,,,
"Feb 3, 2025",286.91,289.58,283.40,288.87,288.87,"4,473,500",AMGN,2025-02-05 21:05:15,,,,,,
"Feb 3, 2025","4,670.19","4,742.86","4,605.43","4,692.90","4,692.90","251,600",BKNG,2025-02-05 21:05:19,,,,,,
"Feb 3, 2025",218.00,219.94,214.03,214.26,214.26,"5,787,800",DHR,2025-02-05 21:05:20,,,,,,
"Feb 3, 2025",111.87,115.79,110.55,114.39,114.39,"8,572,400",SHOP,2025-02-05 21:05:24,,,,,,
"Feb 3, 2025",59.59,60.25,59.56,59.87,59.87,"1,871,100",HDB,2025-02-05 21:05:25,,,,,,
"Feb 3, 2025",101.41,103.86,100.70,103.07,103.07,"6,263,400",BSX,2025-02-05 21:05:26,,,,,,
"Feb 3, 2025",81.29,83.22,80.79,82.75,82.75,"6,524,800",SCHW,2025-02-05 21:05:27,,,,,,
"Feb 3, 2025",389.44,394.13,387.00,391.14,391.14,"999,000",SYK,2025-02-05 21:05:34,,,,,,
"Feb 3, 2025",242.23,246.69,237.07,243.02,243.02,"3,962,300",UNP,2025-02-05 21:05:40,,,,,,
"Feb 3, 2025",0.56 Dividend,,,,,,C,2025-02-05 21:05:41,,,,,,
"Feb 3, 2025",65.30,68.85,65.18,67.29,67.29,"25,290,000",UBER,2025-02-05 21:05:41,,,,,,
"Feb 3, 2025",26.30,26.47,26.15,26.20,26.20,"49,626,200",PFE,2025-02-05 21:05:44,,,,,,
"Feb 3, 2025",222.50,223.30,219.66,222.41,222.41,"3,220,600",HON,2025-02-05 21:05:46,,,,,,
"Feb 3, 2025",247.52,250.71,245.51,248.92,248.92,"2,050,300",PGR,2025-02-05 21:06:00,,,,,,
"Feb 3, 2025",256.04,258.68,252.38,256.50,256.50,"1,862,000",LOW,2025-02-05 21:06:01,,,,,,
"Feb 3, 2025",175.32,180.25,174.24,178.80,178.80,"5,321,300",AMAT,2025-02-05 21:06:02,,,,,,
"Feb 3, 2025",12.39,12.51,12.31,12.49,12.49,"3,756,000",MUFG,2025-02-05 21:06:04,,,,,,
"Feb 3, 2025",70.50,71.79,70.19,71.05,71.05,"9,128,300",NEE,2025-02-05 21:06:04,,,,,,
"Feb 3, 2025",56.93,57.82,56.93,57.65,57.65,"1,860,600",UL,2025-02-05 21:06:10,,,,,,
"Feb 3, 2025",109.67,113.70,108.80,111.50,111.50,"10,210,900",ANET,2025-02-05 21:06:13,,,,,,
"Feb 3, 2025",123.96,125.31,123.10,124.31,124.31,"5,635,800",TJX,2025-02-05 21:06:14,,,,,,
"Feb 3, 2025",21.70,21.99,21.67,21.89,21.89,"3,141,900",SONY,2025-02-05 21:06:15,,,,,,
"Feb 3, 2025",57.28,57.92,57.02,57.56,57.56,"1,346,900",TTE,2025-02-05 21:06:20,,,,,,
"Feb 3, 2025",53.42,53.96,53.15,53.35,53.35,"1,890,800",SNY,2025-02-05 21:06:21,,,,,,
"Feb 3, 2025",162.01,164.44,159.39,163.22,163.22,"4,527,500",KKR,2025-02-05 21:06:22,,,,,,
"Feb 3, 2025",174.11,178.20,173.13,175.87,175.87,"6,501,700",BA,2025-02-05 21:06:26,,,,,,
"Feb 3, 2025",98.75,98.94,97.04,98.48,98.48,"5,948,600",COP,2025-02-05 21:06:29,,,,,,
"Feb 3, 2025",464.15,469.67,459.14,467.05,467.05,"1,397,700",DE,2025-02-05 21:06:35,,,,,,
